rfq_id,candidate_count,top_score,top_mandatory_coverage,top_preferred_coverage,top_overall_coverage,top_exact_count,top_contradiction_count,top_novalue_count,true_rank,mode,package_aware
RFQ731-000001,5000,26.49251480674547,0.7626992339702493,1.0,0.8666666666666667,13,1,1,37,V8_EXTRACTED,False
RFQ731-000002,5000,30.10679692902964,0.8410722014540815,1.0,0.9333333333333333,14,1,0,52,V8_EXTRACTED,False
RFQ731-000003,5000,31.036567610675,0.8679309294992111,1.0,0.9230769230769231,12,0,1,248,V8_EXTRACTED,False
RFQ731-000004,5000,31.637299618501306,1.0,1.0,1.0,11,0,0,47,V8_EXTRACTED,False
RFQ731-000005,5000,34.70912091806144,1.0,1.0,1.0,13,0,0,158,V8_EXTRACTED,False
RFQ731-000006,5000,38.10181107416925,0.9341066050507019,1.0,0.9375,15,1,0,22,V8_EXTRACTED,False
RFQ731-000007,5000,23.22318178604904,0.8037516735980275,1.0,0.9285714285714286,13,1,0,20,V8_EXTRACTED,False
RFQ731-000008,5000,32.74994554449452,0.7938637396156161,1.0,0.9285714285714286,13,0,1,98,V8_EXTRACTED,False
RFQ731-000009,5000,32.90049575284704,0.8730335668319588,1.0,0.875,14,1,1,1,V8_EXTRACTED,False
RFQ731-000010,5000,33.197259523380566,0.8787747640721167,1.0,0.9285714285714286,13,0,1,429,V8_EXTRACTED,False
RFQ731-000011,5000,32.982092095480276,0.7953909692332953,1.0,0.9285714285714286,13,0,1,23,V8_EXTRACTED,False
RFQ731-000012,5000,41.869155431453876,1.0,1.0,1.0,16,0,0,1,V8_EXTRACTED,False
RFQ731-000013,5000,42.14595280260903,1.0,1.0,1.0,15,0,0,8,V8_EXTRACTED,False
RFQ731-000014,5000,37.85275773090804,0.8587680515043988,1.0,0.8888888888888888,16,1,1,58,V8_EXTRACTED,False
RFQ731-000015,5000,32.569549998690576,0.920469252798206,1.0,0.9333333333333333,14,1,0,3,V8_EXTRACTED,False
RFQ731-000016,5000,39.32501192585788,1.0,1.0,1.0,13,0,0,3,V8_EXTRACTED,False
RFQ731-000017,5000,41.18491910083442,0.948484540514711,1.0,0.9166666666666666,11,0,1,1,V8_EXTRACTED,False
RFQ731-000018,5000,21.63456830444615,0.7771532964704594,1.0,0.75,9,2,1,1,V8_EXTRACTED,False
RFQ731-000019,5000,18.88809561271566,0.770684993990187,1.0,0.9166666666666666,11,1,0,6,V8_EXTRACTED,False
RFQ731-000020,5000,28.534594561977585,0.7747375975365722,1.0,0.875,14,1,1,7,V8_EXTRACTED,False
RFQ731-000021,5000,37.94079744718859,1.0,1.0,1.0,13,0,0,2,V8_EXTRACTED,False
RFQ731-000022,5000,33.066644766393225,0.8382179494077016,1.0,0.8823529411764706,15,1,1,7,V8_EXTRACTED,False
RFQ731-000023,5000,19.64326160594692,0.7772237302816213,1.0,0.9166666666666666,11,1,0,11,V8_EXTRACTED,False
RFQ731-000024,5000,35.39958624026467,0.9365821075768886,1.0,0.9285714285714286,13,0,1,22,V8_EXTRACTED,False
RFQ731-000025,5000,33.18084713586854,0.7966815795962615,1.0,0.9285714285714286,13,0,1,1,V8_EXTRACTED,False
RFQ731-000026,5000,23.17434323005295,0.7202138961331302,1.0,0.8235294117647058,14,2,1,53,V8_EXTRACTED,False
RFQ731-000027,5000,42.154041530802914,1.0,1.0,1.0,14,0,0,2,V8_EXTRACTED,False
RFQ731-000028,5000,34.49732347854012,0.7928734628104819,1.0,0.8823529411764706,15,1,1,1,V8_EXTRACTED,False
RFQ731-000029,5000,24.024365051821547,0.7361485505203414,1.0,0.8235294117647058,14,2,1,22,V8_EXTRACTED,False
RFQ731-000030,5000,35.71459318224258,1.0,1.0,1.0,13,0,0,2,V8_EXTRACTED,False
RFQ731-000031,5000,30.80658512794765,0.8707393672979449,1.0,0.8666666666666667,13,2,0,36,V8_EXTRACTED,False
RFQ731-000032,5000,31.829606926530722,1.0,1.0,1.0,12,0,0,144,V8_EXTRACTED,False
RFQ731-000033,5000,41.79265282817092,1.0,1.0,1.0,12,0,0,6,V8_EXTRACTED,False
RFQ731-000034,5000,26.378772745205335,0.8413252154240352,1.0,0.8461538461538461,11,1,1,17,V8_EXTRACTED,False
RFQ731-000035,5000,27.248988133170112,0.9010331568205783,1.0,0.9230769230769231,12,1,0,3,V8_EXTRACTED,False
RFQ731-000036,5000,30.061640711406085,0.7746037789259357,1.0,0.9230769230769231,12,0,1,121,V8_EXTRACTED,False
RFQ731-000037,5000,33.13930793807229,0.8785813298458077,1.0,0.9230769230769231,12,0,1,41,V8_EXTRACTED,False
RFQ731-000038,5000,42.98731150918057,1.0,1.0,1.0,15,0,0,1,V8_EXTRACTED,False
RFQ731-000039,5000,50.236689969644374,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000040,5000,33.89764397169291,1.0,1.0,1.0,12,0,0,248,V8_EXTRACTED,False
RFQ731-000041,5000,25.018730735784683,0.7169207332623322,1.0,0.8571428571428571,12,1,1,10,V8_EXTRACTED,False
RFQ731-000042,5000,38.60056043686715,0.8996800507424157,1.0,0.9333333333333333,14,0,1,39,V8_EXTRACTED,False
RFQ731-000043,5000,28.180143150790332,0.905023801955247,1.0,0.9285714285714286,13,1,0,17,V8_EXTRACTED,False
RFQ731-000044,5000,32.053503073587464,0.8755505934285237,1.0,0.875,14,2,0,39,V8_EXTRACTED,False
RFQ731-000045,5000,40.429424544859565,0.8971547699612162,1.0,0.8571428571428571,12,0,2,1,V8_EXTRACTED,False
RFQ731-000046,5000,35.20481691144113,1.0,1.0,1.0,13,0,0,11,V8_EXTRACTED,False
RFQ731-000047,5000,38.005905763615075,0.9339090389418954,1.0,0.9375,15,1,0,3,V8_EXTRACTED,False
RFQ731-000048,5000,33.942346803319865,0.878959825454679,1.0,0.8823529411764706,15,1,1,12,V8_EXTRACTED,False
RFQ731-000049,5000,26.394083928997162,0.7981645057479668,1.0,0.8571428571428571,12,1,1,37,V8_EXTRACTED,False
RFQ731-000050,5000,34.88261319788115,1.0,1.0,1.0,11,0,0,4,V8_EXTRACTED,False
RFQ731-000051,5000,25.97557682290212,0.9049597696517924,1.0,0.8888888888888888,8,1,0,8,V8_EXTRACTED,False
RFQ731-000052,5000,29.61345218165706,0.7805903407470828,1.0,0.8823529411764706,15,1,1,11,V8_EXTRACTED,False
RFQ731-000053,5000,38.29605892047256,1.0,1.0,1.0,14,0,0,1,V8_EXTRACTED,False
RFQ731-000054,5000,25.10332340553523,0.890382822647384,1.0,0.9166666666666666,11,1,0,6,V8_EXTRACTED,False
RFQ731-000055,5000,43.710079948737544,0.9502140403562505,1.0,0.9285714285714286,13,1,0,1,V8_EXTRACTED,False
RFQ731-000056,5000,29.098337901890655,0.7668898236084242,1.0,0.8235294117647058,14,1,2,1,V8_EXTRACTED,False
RFQ731-000057,5000,37.55964594106793,0.9329742045314325,1.0,0.9375,15,1,0,3,V8_EXTRACTED,False
RFQ731-000058,5000,22.8295032410291,0.8071508275406925,1.0,0.8181818181818182,9,1,1,16,V8_EXTRACTED,False
RFQ731-000059,5000,45.658175615596264,0.9467364694325405,1.0,0.9285714285714286,13,1,0,4,V8_EXTRACTED,False
RFQ731-000060,5000,43.149726015572185,1.0,1.0,1.0,14,0,0,20,V8_EXTRACTED,False
RFQ731-000061,5000,24.25852960722392,0.7476840535113282,1.0,0.875,14,1,1,25,V8_EXTRACTED,False
RFQ731-000062,5000,30.70932330798459,0.7121910937174419,1.0,0.9090909090909091,10,0,1,256,V8_EXTRACTED,False
RFQ731-000063,5000,40.98872582733263,0.9395343292848622,1.0,0.9411764705882353,16,1,0,1,V8_EXTRACTED,False
RFQ731-000064,5000,30.561110106779665,0.8583425309799692,1.0,0.8333333333333334,10,1,1,6,V8_EXTRACTED,False
RFQ731-000065,5000,34.76058987132548,0.9318099471191241,1.0,0.9333333333333333,14,1,0,64,V8_EXTRACTED,False
RFQ731-000066,5000,18.97995991207409,0.6106191448241209,1.0,0.7692307692307693,10,2,1,196,V8_EXTRACTED,False
RFQ731-000067,5000,35.330243331612685,0.8374635367216803,1.0,0.875,14,1,1,12,V8_EXTRACTED,False
RFQ731-000068,5000,42.21896444004417,1.0,1.0,1.0,15,0,0,23,V8_EXTRACTED,False
RFQ731-000069,5000,35.711416506038375,0.9288731058778706,1.0,0.9285714285714286,13,1,0,294,V8_EXTRACTED,False
RFQ731-000070,5000,36.114861333682676,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000071,5000,23.6193073360693,0.8214431385646248,1.0,0.8333333333333334,10,1,1,26,V8_EXTRACTED,False
RFQ731-000072,5000,39.81516096022088,0.9034563271229723,1.0,0.9333333333333333,14,0,1,103,V8_EXTRACTED,False
RFQ731-000073,5000,42.64177776634424,0.9111932305502538,1.0,0.9411764705882353,16,0,1,172,V8_EXTRACTED,False
RFQ731-000074,5000,30.975774418767312,0.9232652930807561,1.0,0.9230769230769231,12,0,1,283,V8_EXTRACTED,False
RFQ731-000075,5000,39.53681208099507,1.0,1.0,1.0,14,0,0,1,V8_EXTRACTED,False
RFQ731-000076,5000,44.24487965261899,0.9531286614821096,1.0,0.9166666666666666,11,0,1,1,V8_EXTRACTED,False
RFQ731-000077,5000,34.844227664719256,0.926674809495422,1.0,0.9375,15,1,0,1,V8_EXTRACTED,False
RFQ731-000078,5000,33.5875417909126,0.8714419559463095,1.0,0.8333333333333334,10,0,2,3,V8_EXTRACTED,False
RFQ731-000079,5000,33.95885545641286,1.0,1.0,1.0,13,0,0,88,V8_EXTRACTED,False
RFQ731-000080,5000,27.96243333152541,0.8310487358783742,1.0,0.9285714285714286,13,1,0,31,V8_EXTRACTED,False
RFQ731-000081,5000,28.55866548809636,1.0,1.0,1.0,10,0,0,41,V8_EXTRACTED,False
RFQ731-000082,5000,31.984206368728177,1.0,1.0,1.0,11,0,0,8,V8_EXTRACTED,False
RFQ731-000083,5000,45.40517640230564,1.0,1.0,1.0,12,0,0,1,V8_EXTRACTED,False
RFQ731-000084,5000,18.955466105991217,0.7526567301443023,1.0,0.8461538461538461,11,2,0,339,V8_EXTRACTED,False
RFQ731-000085,5000,35.0748786404557,1.0,1.0,1.0,13,0,0,2,V8_EXTRACTED,False
RFQ731-000086,5000,28.212094528743435,1.0,1.0,1.0,10,0,0,18,V8_EXTRACTED,False
RFQ731-000087,5000,36.4079369188903,0.8531736411569446,1.0,0.8823529411764706,15,1,1,8,V8_EXTRACTED,False
RFQ731-000088,5000,41.42107163197771,1.0,1.0,1.0,15,0,0,9,V8_EXTRACTED,False
RFQ731-000089,5000,37.48813216370057,1.0,1.0,1.0,14,0,0,13,V8_EXTRACTED,False
RFQ731-000090,5000,21.85988771143252,0.7944052711072858,1.0,0.9230769230769231,12,1,0,2,V8_EXTRACTED,False
RFQ731-000091,5000,36.3615264939394,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000092,5000,19.981869722521562,0.7800439421272052,1.0,0.9166666666666666,11,1,0,11,V8_EXTRACTED,False
RFQ731-000093,5000,40.82687878513496,0.9063961415653163,1.0,0.9333333333333333,14,0,1,160,V8_EXTRACTED,False
RFQ731-000094,5000,43.84920517084608,0.9525247124381763,1.0,0.9285714285714286,13,0,1,1,V8_EXTRACTED,False
RFQ731-000095,5000,15.39871268011743,0.7222901736755412,1.0,0.8571428571428571,12,2,0,12,V8_EXTRACTED,False
RFQ731-000096,5000,36.49263214883517,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000097,5000,32.943479044953975,1.0,1.0,1.0,13,0,0,186,V8_EXTRACTED,False
RFQ731-000098,5000,38.88913836562905,0.9005634573439281,1.0,0.9375,15,0,1,191,V8_EXTRACTED,False
RFQ731-000099,5000,37.85275773090804,0.8587680515043988,1.0,0.8888888888888888,16,1,1,114,V8_EXTRACTED,False
RFQ731-000100,5000,41.937778256069976,0.9412576492719698,1.0,0.9166666666666666,11,1,0,1,V8_EXTRACTED,False
RFQ731-000101,5000,47.89760501454677,0.9158460407877026,1.0,0.8666666666666667,13,0,2,1,V8_EXTRACTED,False
RFQ731-000102,5000,28.47391680421401,0.9063076768569622,1.0,0.9230769230769231,12,1,0,12,V8_EXTRACTED,False
RFQ731-000103,5000,40.043556314062236,1.0,1.0,1.0,13,0,0,134,V8_EXTRACTED,False
RFQ731-000104,5000,32.210072619137975,1.0,1.0,1.0,11,0,0,5,V8_EXTRACTED,False
RFQ731-000105,5000,24.01428229503606,0.7288963085592375,1.0,0.7647058823529411,13,2,2,37,V8_EXTRACTED,False
RFQ731-000106,5000,43.025728629738396,1.0,1.0,1.0,12,0,0,3,V8_EXTRACTED,False
RFQ731-000107,5000,33.0525714411315,0.8417329044212649,1.0,0.8571428571428571,12,1,1,156,V8_EXTRACTED,False
RFQ731-000108,5000,40.783707057480484,0.9062389298044511,1.0,0.9375,15,0,1,13,V8_EXTRACTED,False
RFQ731-000109,5000,37.400994238099806,1.0,1.0,1.0,14,0,0,20,V8_EXTRACTED,False
RFQ731-000110,5000,40.72616548128592,1.0,1.0,1.0,14,0,0,8,V8_EXTRACTED,False
RFQ731-000111,5000,35.37130355056297,0.8880877226942248,1.0,0.9333333333333333,14,0,1,6,V8_EXTRACTED,False
RFQ731-000112,5000,30.52583887235035,0.8695826836319166,1.0,0.8666666666666667,13,2,0,197,V8_EXTRACTED,False
RFQ731-000113,5000,35.73123388877346,0.9290054015236646,1.0,0.9166666666666666,11,1,0,1,V8_EXTRACTED,False
RFQ731-000114,5000,34.66797338408141,1.0,1.0,1.0,12,0,0,4,V8_EXTRACTED,False
RFQ731-000115,5000,26.422290379373294,0.8015085163574474,1.0,0.8461538461538461,11,1,1,54,V8_EXTRACTED,False
RFQ731-000116,5000,40.51270654515841,1.0,1.0,1.0,16,0,0,1,V8_EXTRACTED,False
RFQ731-000117,5000,28.71747813614805,0.9073691505450331,1.0,0.9166666666666666,11,1,0,7,V8_EXTRACTED,False
RFQ731-000118,5000,31.749520648242978,0.8699095214312436,1.0,0.875,14,1,1,28,V8_EXTRACTED,False
RFQ731-000119,5000,34.86444562696933,0.926757607901793,1.0,0.9333333333333333,14,1,0,1,V8_EXTRACTED,False
RFQ731-000120,5000,26.414719442930714,0.7819681638193237,1.0,0.8461538461538461,11,1,1,9,V8_EXTRACTED,False
RFQ731-000121,5000,36.30632598991559,0.9302041482313951,1.0,0.9375,15,1,0,18,V8_EXTRACTED,False
RFQ731-000122,5000,31.639175472153187,1.0,1.0,1.0,10,0,0,4,V8_EXTRACTED,False
RFQ731-000123,5000,33.256182338449264,1.0,1.0,1.0,12,0,0,25,V8_EXTRACTED,False
RFQ731-000124,5000,34.995962720620255,0.9271656075725944,1.0,0.9230769230769231,12,1,0,4,V8_EXTRACTED,False
RFQ731-000125,5000,22.789287288251025,0.8008296147520588,1.0,0.9285714285714286,13,1,0,43,V8_EXTRACTED,False
RFQ731-000126,5000,20.854923501225514,0.6615464525500303,1.0,0.8461538461538461,11,1,1,1546,V8_EXTRACTED,False
RFQ731-000127,5000,25.095409460674247,0.8153948245898256,1.0,0.9333333333333333,14,1,0,14,V8_EXTRACTED,False
RFQ731-000128,5000,17.10338681488488,0.7375294044651894,1.0,0.8571428571428571,12,2,0,6,V8_EXTRACTED,False
RFQ731-000129,5000,29.878766493847067,0.8098738869263845,1.0,0.8,12,2,1,1,V8_EXTRACTED,False
RFQ731-000130,5000,35.52256962904146,0.9338226026282073,1.0,0.9375,15,1,0,1,V8_EXTRACTED,False
RFQ731-000131,5000,35.08555239453553,1.0,1.0,1.0,12,0,0,137,V8_EXTRACTED,False
RFQ731-000132,5000,32.56165653370955,0.8757432377322483,1.0,0.9285714285714286,13,0,1,18,V8_EXTRACTED,False
RFQ731-000133,5000,26.45445796558524,0.8460727980887349,1.0,0.8571428571428571,12,1,1,3,V8_EXTRACTED,False
RFQ731-000134,5000,22.636872649950405,0.7997835648316034,1.0,0.9285714285714286,13,1,0,2,V8_EXTRACTED,False
RFQ731-000135,5000,21.932145596596754,0.7304317555514,1.0,0.8666666666666667,13,1,1,372,V8_EXTRACTED,False
RFQ731-000136,5000,34.9439381011819,0.8864151342233754,1.0,0.9285714285714286,13,0,1,16,V8_EXTRACTED,False
RFQ731-000137,5000,38.72098678887215,1.0,1.0,1.0,15,0,0,1,V8_EXTRACTED,False
RFQ731-000138,5000,35.95918505459957,1.0,1.0,1.0,10,0,0,13,V8_EXTRACTED,False
RFQ731-000139,5000,21.137661547374375,0.7680153386854176,1.0,0.8571428571428571,12,2,0,42,V8_EXTRACTED,False
RFQ731-000140,5000,36.1401461805668,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000141,5000,31.966433494254602,0.8729515729033284,1.0,0.9166666666666666,11,0,1,259,V8_EXTRACTED,False
RFQ731-000142,5000,20.1641582020212,0.7158577298935406,1.0,0.8571428571428571,12,1,1,30,V8_EXTRACTED,False
RFQ731-000143,5000,40.530410011541306,1.0,1.0,1.0,14,0,0,23,V8_EXTRACTED,False
RFQ731-000144,5000,37.18735878332899,0.8425263440661455,1.0,0.8888888888888888,16,1,1,1,V8_EXTRACTED,False
RFQ731-000145,5000,26.411749980152564,0.8228765827391328,1.0,0.9333333333333333,14,1,0,13,V8_EXTRACTED,False
RFQ731-000146,5000,20.239737054862854,0.7614440686596474,1.0,0.875,14,2,0,22,V8_EXTRACTED,False
RFQ731-000147,5000,42.55576327346617,1.0,1.0,1.0,15,0,0,14,V8_EXTRACTED,False
RFQ731-000148,5000,25.781157257253053,0.7766912350786164,1.0,0.8571428571428571,12,1,1,97,V8_EXTRACTED,False
RFQ731-000149,5000,37.58759525994118,0.8442550313766037,1.0,0.8823529411764706,15,1,1,5,V8_EXTRACTED,False
RFQ731-000150,5000,41.443873498295005,1.0,1.0,1.0,14,0,0,9,V8_EXTRACTED,False
RFQ731-000151,5000,44.461759464333724,1.0,1.0,1.0,12,0,0,1,V8_EXTRACTED,False
RFQ731-000152,5000,20.807941577103975,0.7863736551234013,1.0,0.9285714285714286,13,1,0,23,V8_EXTRACTED,False
RFQ731-000153,5000,30.28340874679943,0.784152207234422,1.0,0.8823529411764706,15,1,1,8,V8_EXTRACTED,False
RFQ731-000154,5000,32.61988308999511,1.0,1.0,1.0,11,0,0,20,V8_EXTRACTED,False
RFQ731-000155,5000,30.214759238302424,0.8628066676401963,1.0,0.8666666666666667,13,1,1,45,V8_EXTRACTED,False
RFQ731-000156,5000,38.73131042111782,0.8650195213004291,1.0,0.8888888888888888,16,1,1,10,V8_EXTRACTED,False
RFQ731-000157,5000,41.03983786412006,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000158,5000,26.844747532169382,0.8991647064639511,1.0,0.9230769230769231,12,1,0,29,V8_EXTRACTED,False
RFQ731-000159,5000,27.412996430976655,0.7681913513880491,1.0,0.875,14,1,1,21,V8_EXTRACTED,False
RFQ731-000160,5000,31.27149069641301,0.8136675012766782,1.0,0.8823529411764706,15,1,1,29,V8_EXTRACTED,False
RFQ731-000161,5000,33.331274189601196,0.9285177042010291,1.0,0.9230769230769231,12,1,0,62,V8_EXTRACTED,False
RFQ731-000162,5000,40.028484564917235,0.8664931037859196,1.0,0.8947368421052632,17,1,1,29,V8_EXTRACTED,False
RFQ731-000163,5000,33.42713267536322,0.8798363688983736,1.0,0.9285714285714286,13,0,1,29,V8_EXTRACTED,False
RFQ731-000164,5000,31.397706094071868,0.9168802252336744,1.0,0.9285714285714286,13,1,0,1,V8_EXTRACTED,False
RFQ731-000165,5000,28.892967415517703,0.8153619832591006,1.0,0.8571428571428571,12,1,1,45,V8_EXTRACTED,False
RFQ731-000166,5000,25.807950126328436,0.8196920615309421,1.0,0.9230769230769231,12,1,0,42,V8_EXTRACTED,False
RFQ731-000167,5000,35.88926080130706,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000168,5000,42.78939677910477,1.0,1.0,1.0,15,0,0,1,V8_EXTRACTED,False
RFQ731-000169,5000,37.46339162472877,1.0,1.0,1.0,13,0,0,1,V8_EXTRACTED,False
RFQ731-000170,5000,42.967565481168776,0.9044679297065277,1.0,0.8461538461538461,11,0,2,3,V8_EXTRACTED,False
RFQ731-000171,5000,26.260525423070057,0.8961195202603018,1.0,0.9,9,1,0,710,V8_EXTRACTED,False
RFQ731-000172,5000,34.070512353952495,0.9246619318479119,1.0,0.9375,15,1,0,20,V8_EXTRACTED,False
RFQ731-000173,5000,28.377870482015332,1.0,1.0,1.0,9,0,0,11,V8_EXTRACTED,False
RFQ731-000174,5000,21.399941333253626,0.769577300836145,1.0,0.8666666666666667,13,2,0,10,V8_EXTRACTED,False
RFQ731-000175,5000,35.97518610850422,0.8904487682082495,1.0,0.9333333333333333,14,0,1,8,V8_EXTRACTED,False
RFQ731-000176,5000,39.243589198019805,1.0,1.0,1.0,14,0,0,11,V8_EXTRACTED,False
RFQ731-000177,5000,28.098343195765597,1.0,1.0,1.0,10,0,0,80,V8_EXTRACTED,False
RFQ731-000178,5000,31.920611425357272,0.8486933319426146,1.0,0.9375,15,1,0,2,V8_EXTRACTED,False
RFQ731-000179,5000,31.18886441665643,0.868761974368873,1.0,0.9230769230769231,12,0,1,318,V8_EXTRACTED,False
RFQ731-000180,5000,30.953327501178272,0.9231835573832675,1.0,0.9230769230769231,12,0,1,40,V8_EXTRACTED,False
RFQ731-000181,5000,12.353378408709485,0.6914219938120347,1.0,0.8333333333333334,10,2,0,7,V8_EXTRACTED,False
RFQ731-000182,5000,33.80421146362181,0.9239438842465458,1.0,0.9375,15,1,0,3,V8_EXTRACTED,False
RFQ731-000183,5000,32.4195961932609,0.9200214695829697,1.0,0.9333333333333333,14,1,0,176,V8_EXTRACTED,False
RFQ731-000184,5000,39.949051043056535,1.0,1.0,1.0,12,0,0,81,V8_EXTRACTED,False
RFQ731-000185,5000,36.19037201252186,0.9299654221863771,1.0,0.9333333333333333,14,1,0,8,V8_EXTRACTED,False
RFQ731-000186,5000,23.46981554736157,0.8053767055572679,1.0,0.9285714285714286,13,1,0,26,V8_EXTRACTED,False
RFQ731-000187,5000,26.31580595891365,0.7975770165116863,1.0,0.8571428571428571,12,1,1,44,V8_EXTRACTED,False
RFQ731-000188,5000,39.34425619585679,1.0,1.0,1.0,13,0,0,134,V8_EXTRACTED,False
RFQ731-000189,5000,26.260525423070057,0.8961195202603018,1.0,0.9,9,1,0,710,V8_EXTRACTED,False
RFQ731-000190,5000,42.81083442430553,0.9510059145878813,1.0,0.9285714285714286,13,0,1,1,V8_EXTRACTED,False
RFQ731-000191,5000,27.821263711469076,0.9035668969755862,1.0,0.9230769230769231,12,1,0,2,V8_EXTRACTED,False
RFQ731-000192,5000,27.384685476534347,0.901731681614535,1.0,0.9166666666666666,11,1,0,1,V8_EXTRACTED,False
RFQ731-000193,5000,26.766915764795144,0.8009192015436751,1.0,0.8571428571428571,12,1,1,64,V8_EXTRACTED,False
RFQ731-000194,5000,29.621465394004648,0.9107163529665641,1.0,0.9285714285714286,13,1,0,6,V8_EXTRACTED,False
RFQ731-000195,5000,31.67143970674691,1.0,1.0,1.0,12,0,0,41,V8_EXTRACTED,False
RFQ731-000196,5000,35.246923478679406,1.0,1.0,1.0,12,0,0,3,V8_EXTRACTED,False
RFQ731-000197,5000,36.99568111749219,0.9574658222824552,1.0,0.9375,15,1,0,22,V8_EXTRACTED,False
RFQ731-000198,5000,25.94190472931986,0.7588941156014348,1.0,0.8823529411764706,15,1,1,2,V8_EXTRACTED,False
RFQ731-000199,5000,30.40160901248695,1.0,1.0,1.0,11,0,0,65,V8_EXTRACTED,False
RFQ731-000200,5000,36.16212253006032,0.9352832698292234,1.0,0.9333333333333333,14,1,0,28,V8_EXTRACTED,False
RFQ731-000201,5000,38.36848416388278,1.0,1.0,1.0,15,0,0,4,V8_EXTRACTED,False
RFQ731-000202,5000,42.68629078152943,0.9113342797230464,1.0,0.9375,15,0,1,77,V8_EXTRACTED,False
RFQ731-000203,5000,32.82699660478392,0.8727248350969501,1.0,0.875,14,1,1,4,V8_EXTRACTED,False
RFQ731-000204,5000,26.185277679020523,0.846768712034086,1.0,0.8181818181818182,9,1,1,4,V8_EXTRACTED,False
RFQ731-000205,5000,41.299005394950804,0.9465889440206979,1.0,0.9333333333333333,14,0,1,79,V8_EXTRACTED,False
RFQ731-000206,5000,44.88577933521269,1.0,1.0,1.0,16,0,0,2,V8_EXTRACTED,False
RFQ731-000207,5000,37.52951669095741,0.933042889061051,1.0,0.9166666666666666,11,1,0,1,V8_EXTRACTED,False
RFQ731-000208,5000,20.363113775223127,0.7625185669309398,1.0,0.75,9,2,1,1284,V8_EXTRACTED,False
RFQ731-000209,5000,39.784798091232815,0.9594514583036344,1.0,0.9333333333333333,14,1,0,15,V8_EXTRACTED,False
RFQ731-000210,5000,35.24433096896241,0.8420270473966295,1.0,0.7857142857142857,11,1,2,1,V8_EXTRACTED,False
RFQ731-000211,5000,28.49267073160639,0.7290604593055997,1.0,0.8181818181818182,9,0,2,13,V8_EXTRACTED,False
RFQ731-000212,5000,35.423684624831,1.0,1.0,1.0,12,0,0,6,V8_EXTRACTED,False
RFQ731-000213,5000,21.65368202736513,0.7281933730874146,1.0,0.8666666666666667,13,1,1,18,V8_EXTRACTED,False
RFQ731-000214,5000,42.395951799004514,0.9503718952823966,1.0,0.9285714285714286,13,0,1,1,V8_EXTRACTED,False
RFQ731-000215,5000,25.191236456668427,0.797594027587479,1.0,0.7857142857142857,11,3,0,199,V8_EXTRACTED,False
RFQ731-000216,5000,38.48355763364219,1.0,1.0,1.0,14,0,0,15,V8_EXTRACTED,False
RFQ731-000217,5000,25.28040172881932,0.7146338488669601,1.0,0.9166666666666666,11,0,1,2977,V8_EXTRACTED,False
RFQ731-000218,5000,35.77349231629643,1.0,1.0,1.0,13,0,0,3,V8_EXTRACTED,False
RFQ731-000219,5000,32.56370232185617,1.0,1.0,1.0,9,0,0,2,V8_EXTRACTED,False
RFQ731-000220,5000,39.85492009971231,0.9424673909569304,1.0,0.9375,15,1,0,7,V8_EXTRACTED,False
RFQ731-000221,5000,36.24820406366578,0.9376471267977591,1.0,0.9090909090909091,10,1,0,1,V8_EXTRACTED,False
RFQ731-000222,5000,37.44739386056014,0.9327349504115301,1.0,0.9375,15,1,0,13,V8_EXTRACTED,False
RFQ731-000223,5000,40.07971376106373,1.0,1.0,1.0,14,0,0,45,V8_EXTRACTED,False
RFQ731-000224,5000,40.28756168494478,1.0,1.0,1.0,14,0,0,34,V8_EXTRACTED,False
RFQ731-000225,5000,26.185277679020526,0.8467687120340861,1.0,0.8181818181818182,9,1,1,4,V8_EXTRACTED,False
RFQ731-000226,5000,34.55863846513153,0.8485500879390298,1.0,0.875,14,1,1,420,V8_EXTRACTED,False
RFQ731-000227,5000,36.00049656454506,1.0,1.0,1.0,12,0,0,135,V8_EXTRACTED,False
RFQ731-000228,5000,33.019208903930426,1.0,1.0,1.0,12,0,0,1,V8_EXTRACTED,False
RFQ731-000229,5000,30.47623426269453,0.9137896702634936,1.0,0.9285714285714286,13,1,0,3,V8_EXTRACTED,False
RFQ731-000230,5000,43.84920517084608,0.9525247124381763,1.0,0.9285714285714286,13,0,1,1,V8_EXTRACTED,False
RFQ731-000231,5000,37.127711860296046,0.856051589308259,1.0,0.8823529411764706,15,1,1,6,V8_EXTRACTED,False
RFQ731-000232,5000,28.672548198864522,0.74670756371049,1.0,0.8666666666666667,13,1,1,38,V8_EXTRACTED,False
RFQ731-000233,5000,34.48866433666622,0.8306656859692952,1.0,0.875,14,1,1,4,V8_EXTRACTED,False
RFQ731-000234,5000,37.94159060895211,1.0,1.0,1.0,14,0,0,1,V8_EXTRACTED,False
