package,characteristic,value,count,package_size,percentage
"in {NOVALUE, 'F731PW'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS4'}",5,20,25.0
"in {NOVALUE, 'F731PW'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",5,20,25.0
"in {NOVALUE, 'F731PW'}",stromEingaenge,NOVALUE,20,20,100.0
"in {NOVALUE, 'F731PW'}",temperaturEingaenge,NOVALUE,20,20,100.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,NOVALUE,8,20,40.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,"in {'MN2', 'MN4'}",3,20,15.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,MN2,3,20,15.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,"in {NOVALUE, 'MN2', 'MN4'}",3,20,15.0
"in {NOVALUE, 'F731PW'}",binaerDigitalOpenColl_MN,"in {NOVALUE, 'MN2'}",3,20,15.0
"in {NOVALUE, 'F731PW'}",binaerOpenColl_MP,NOVALUE,12,20,60.0
"in {NOVALUE, 'F731PW'}",binaerOpenColl_MP,"in {'MP2', 'MP4'}",2,20,10.0
"in {NOVALUE, 'F731PW'}",binaerOpenColl_MP,MP2,2,20,10.0
"in {NOVALUE, 'F731PW'}",binaerOpenColl_MP,"in {NOVALUE, 'MP2', 'MP4'}",2,20,10.0
"in {NOVALUE, 'F731PW'}",binaerOpenColl_MP,"in {NOVALUE, 'MP2'}",2,20,10.0
"in {NOVALUE, 'F731PW'}",waveInjector,NOVALUE,20,20,100.0
"in {NOVALUE, 'F731PW'}",dev_advMeterVerification,"in {NOVALUE, 1}",20,20,100.0
"in {NOVALUE, 'F731PW'}",dynamicGasMaster,NOVALUE,20,20,100.0
"in {NOVALUE, 'F731PW'}",customUserFluid,NOVALUE,20,20,100.0
"in {NOVALUE, 'F731PW'}",steamApplication,NOVALUE,20,20,100.0
"in {NOVALUE, 'F731TE'}",devCategory,F,26,26,100.0
"in {NOVALUE, 'F731TE'}",characteristic,TE,26,26,100.0
"in {NOVALUE, 'F731TE'}",housing,"in {'ST', 'AL'}",26,26,100.0
"in {NOVALUE, 'F731TE'}",powerSupply,"in {'1', '4'}",26,26,100.0
"in {NOVALUE, 'F731TE'}",numberOfChannels,1,13,26,50.0
"in {NOVALUE, 'F731TE'}",numberOfChannels,2,13,26,50.0
"in {NOVALUE, 'F731TE'}",explosionApproval,N,8,26,30.76923076923077
"in {NOVALUE, 'F731TE'}",explosionApproval,"in {'A', 'E', 'P', 'J', 'S'}",6,26,23.076923076923077
"in {NOVALUE, 'F731TE'}",explosionApproval,F,6,26,23.076923076923077
"in {NOVALUE, 'F731TE'}",explosionApproval,K,6,26,23.076923076923077
"in {NOVALUE, 'F731TE'}",protectionArea,2,18,26,69.23076923076923
"in {NOVALUE, 'F731TE'}",protectionArea,N,8,26,30.76923076923077
"in {NOVALUE, 'F731TE'}",certification,"in {'NN', 'WN'}",12,26,46.15384615384615
"in {NOVALUE, 'F731TE'}",certification,"in {'NN', 'WN', 'FN'}",8,26,30.76923076923077
"in {NOVALUE, 'F731TE'}",certification,NN,6,26,23.076923076923077
"in {NOVALUE, 'F731TE'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'BM', 'HS'}",6,26,23.076923076923077
"in {NOVALUE, 'F731TE'}",dataInterface,"in {'PA', 'MR', 'FF', 'BM', 'HS'}",6,26,23.076923076923077
"in {NOVALUE, 'F731TE'}",dataInterface,"in {'NN', 'MT', 'BT'}",4,26,15.384615384615385
"in {NOVALUE, 'F731TE'}",dataInterface,NN,4,26,15.384615384615385
"in {NOVALUE, 'F731TE'}",dataInterface,"in {'MT', 'BT'}",2,26,7.6923076923076925
"in {NOVALUE, 'F731TE'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",2,26,7.6923076923076925
"in {NOVALUE, 'F731TE'}",dataInterface,"in {'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",2,26,7.6923076923076925
"in {NOVALUE, 'F731TE'}",stromSchaltbar,NOVALUE,10,26,38.46153846153847
"in {NOVALUE, 'F731TE'}",stromSchaltbar,"in {'CS2', 'CS3'}",8,26,30.76923076923077
"in {NOVALUE, 'F731TE'}",stromSchaltbar,"in {'CS2', 'CS4'}",4,26,15.384615384615385
"in {NOVALUE, 'F731TE'}",stromSchaltbar,CS2,4,26,15.384615384615385
"in {NOVALUE, 'F731TE'}",stromEingaenge,NOVALUE,26,26,100.0
"in {NOVALUE, 'F731TE'}",temperaturEingaenge,TT2,13,26,50.0
"in {NOVALUE, 'F731TE'}",temperaturEingaenge,"in {'TT2', 'TT4'}",13,26,50.0
"in {NOVALUE, 'F731TE'}",binaerDigitalOpenColl_MN,NOVALUE,22,26,84.61538461538461
"in {NOVALUE, 'F731TE'}",binaerDigitalOpenColl_MN,MN4,4,26,15.384615384615385
"in {NOVALUE, 'F731TE'}",binaerOpenColl_MP,NOVALUE,14,26,53.84615384615385
"in {NOVALUE, 'F731TE'}",binaerOpenColl_MP,MP4,12,26,46.15384615384615
"in {NOVALUE, 'F731TE'}",waveInjector,NOVALUE,26,26,100.0
"in {NOVALUE, 'F731TE'}",dev_advMeterVerification,"in {NOVALUE, 1}",26,26,100.0
"in {NOVALUE, 'F731TE'}",dynamicGasMaster,NOVALUE,26,26,100.0
"in {NOVALUE, 'F731TE'}",customUserFluid,NOVALUE,26,26,100.0
"in {NOVALUE, 'F731TE'}",steamApplication,NOVALUE,26,26,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",devCategory,F,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",characteristic,WD,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",housing,"in {'ST', 'AL'}",12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",powerSupply,"in {'1', '4'}",6,12,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",powerSupply,1,6,12,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",numberOfChannels,2,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",explosionApproval,N,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",protectionArea,N,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",certification,"in {'NN', 'WN', 'FN'}",6,12,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",certification,CN,6,12,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",6,12,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,HS,4,12,33.33333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",dataInterface,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",2,12,16.666666666666664
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,CS2,4,12,33.33333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,NOVALUE,4,12,33.33333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,"in {'CS2', 'CS4'}",2,12,16.666666666666664
"in {NOVALUE, 'F731WD_DualChannel'}",stromSchaltbar,"in {'CS2', 'CS3'}",2,12,16.666666666666664
"in {NOVALUE, 'F731WD_DualChannel'}",stromEingaenge,"in {NOVALUE, 'IS1'}",6,12,50.0
"in {NOVALUE, 'F731WD_DualChannel'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",4,12,33.33333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",stromEingaenge,NOVALUE,2,12,16.666666666666664
"in {NOVALUE, 'F731WD_DualChannel'}",temperaturEingaenge,NOVALUE,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",binaerDigitalOpenColl_MN,NOVALUE,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",binaerOpenColl_MP,MP4,8,12,66.66666666666666
"in {NOVALUE, 'F731WD_DualChannel'}",binaerOpenColl_MP,NOVALUE,4,12,33.33333333333333
"in {NOVALUE, 'F731WD_DualChannel'}",waveInjector,NOVALUE,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",dev_advMeterVerification,"in {NOVALUE, 1}",12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",dynamicGasMaster,NOVALUE,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",customUserFluid,NOVALUE,12,12,100.0
"in {NOVALUE, 'F731WD_DualChannel'}",steamApplication,NOVALUE,12,12,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",devCategory,F,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",characteristic,WD,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",housing,"in {'ST', 'AL'}",8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",powerSupply,"in {'1', '4'}",4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",powerSupply,1,4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",numberOfChannels,1,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",explosionApproval,N,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",protectionArea,N,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",certification,"in {'NN', 'WN', 'FN'}",4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",certification,CN,4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,HS,4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,"in {'NN', 'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",2,8,25.0
"in {NOVALUE, 'F731WD_SingleChannel'}",dataInterface,"in {'PA', 'MT', 'MR', 'FF', 'DB', 'BM', 'BT'}",2,8,25.0
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,CS2,4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",stromSchaltbar,NOVALUE,4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",stromEingaenge,"in {NOVALUE, 'IS1'}",4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",temperaturEingaenge,NOVALUE,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",binaerDigitalOpenColl_MN,NOVALUE,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",binaerOpenColl_MP,MP4,4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",binaerOpenColl_MP,NOVALUE,4,8,50.0
"in {NOVALUE, 'F731WD_SingleChannel'}",waveInjector,NOVALUE,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",dev_advMeterVerification,"in {NOVALUE, 1}",8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",dynamicGasMaster,NOVALUE,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",customUserFluid,NOVALUE,8,8,100.0
"in {NOVALUE, 'F731WD_SingleChannel'}",steamApplication,NOVALUE,8,8,100.0
"in {NOVALUE, 'G731CA'}",devCategory,G,24,24,100.0
"in {NOVALUE, 'G731CA'}",characteristic,CA,24,24,100.0
"in {NOVALUE, 'G731CA'}",housing,"in {'ST', 'AL'}",24,24,100.0
"in {NOVALUE, 'G731CA'}",powerSupply,"in {'1', '4'}",24,24,100.0
"in {NOVALUE, 'G731CA'}",numberOfChannels,1,12,24,50.0
"in {NOVALUE, 'G731CA'}",numberOfChannels,2,12,24,50.0
"in {NOVALUE, 'G731CA'}",explosionApproval,N,6,24,25.0
"in {NOVALUE, 'G731CA'}",explosionApproval,"in {'A', 'E', 'P', 'J', 'S'}",6,24,25.0
"in {NOVALUE, 'G731CA'}",explosionApproval,F,6,24,25.0
"in {NOVALUE, 'G731CA'}",explosionApproval,K,6,24,25.0
"in {NOVALUE, 'G731CA'}",protectionArea,2,18,24,75.0
"in {NOVALUE, 'G731CA'}",protectionArea,N,6,24,25.0
"in {NOVALUE, 'G731CA'}",certification,"in {'NN', 'WN'}",12,24,50.0
"in {NOVALUE, 'G731CA'}",certification,"in {'NN', 'WN', 'FN'}",6,24,25.0
"in {NOVALUE, 'G731CA'}",certification,NN,6,24,25.0
"in {NOVALUE, 'G731CA'}",dataInterface,HS,7,24,29.166666666666668
"in {NOVALUE, 'G731CA'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",4,24,16.666666666666664
"in {NOVALUE, 'G731CA'}",dataInterface,"in {'PA', 'MR', 'FF', 'BM', 'HS'}",4,24,16.666666666666664
"in {NOVALUE, 'G731CA'}",dataInterface,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'BM', 'HS'}",3,24,12.5
"in {NOVALUE, 'G731CA'}",dataInterface,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM'}",2,24,8.333333333333332
"in {NOVALUE, 'G731CA'}",dataInterface,"in {'MT', 'BT', 'PA', 'MR', 'FF', 'DB', 'BM', 'HS'}",2,24,8.333333333333332
"in {NOVALUE, 'G731CA'}",dataInterface,"in {'NN', 'MT', 'BT', 'PA', 'MR', 'FF', 'BM'}",2,24,8.333333333333332
"in {NOVALUE, 'G731CA'}",stromSchaltbar,CS2,16,24,66.66666666666666
"in {NOVALUE, 'G731CA'}",stromSchaltbar,NOVALUE,8,24,33.33333333333333
"in {NOVALUE, 'G731CA'}",stromEingaenge,"in {'IS1', 'IS2'}",16,24,66.66666666666666
"in {NOVALUE, 'G731CA'}",stromEingaenge,IS1,8,24,33.33333333333333
"in {NOVALUE, 'G731CA'}",temperaturEingaenge,TT1,12,24,50.0
"in {NOVALUE, 'G731CA'}",temperaturEingaenge,"in {'TT1', 'TT2'}",12,24,50.0
"in {NOVALUE, 'G731CA'}",binaerDigitalOpenColl_MN,NOVALUE,20,24,83.33333333333334
"in {NOVALUE, 'G731CA'}",binaerDigitalOpenColl_MN,MN4,4,24,16.666666666666664
"in {NOVALUE, 'G731CA'}",binaerOpenColl_MP,MP4,12,24,50.0
"in {NOVALUE, 'G731CA'}",binaerOpenColl_MP,NOVALUE,12,24,50.0
"in {NOVALUE, 'G731CA'}",waveInjector,NOVALUE,24,24,100.0
"in {NOVALUE, 'G731CA'}",dev_advMeterVerification,"in {NOVALUE, 1}",24,24,100.0
"in {NOVALUE, 'G731CA'}",dynamicGasMaster,NOVALUE,24,24,100.0
"in {NOVALUE, 'G731CA'}",customUserFluid,NOVALUE,24,24,100.0
"in {NOVALUE, 'G731CA'}",steamApplication,NOVALUE,24,24,100.0
"in {NOVALUE, 'G731ST-HT'}",devCategory,G,133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",characteristic,ST,133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",housing,"in {'ST', 'AL'}",133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",powerSupply,"in {'1', '4'}",133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",numberOfChannels,2,133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,N,38,133,28.57142857142857
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,"in {'A', 'E', 'P', 'J', 'S'}",38,133,28.57142857142857
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,K,38,133,28.57142857142857
"in {NOVALUE, 'G731ST-HT'}",explosionApproval,F,19,133,14.285714285714285
"in {NOVALUE, 'G731ST-HT'}",protectionArea,2,95,133,71.42857142857143
"in {NOVALUE, 'G731ST-HT'}",protectionArea,N,38,133,28.57142857142857
"in {NOVALUE, 'G731ST-HT'}",certification,"in {'NN', 'WN'}",76,133,57.14285714285714
"in {NOVALUE, 'G731ST-HT'}",certification,"in {'NN', 'WN', 'FN'}",38,133,28.57142857142857
"in {NOVALUE, 'G731ST-HT'}",certification,NN,19,133,14.285714285714285
"in {NOVALUE, 'G731ST-HT'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",40,133,30.075187969924812
"in {NOVALUE, 'G731ST-HT'}",dataInterface,HS,35,133,26.31578947368421
"in {NOVALUE, 'G731ST-HT'}",dataInterface,NN,24,133,18.045112781954884
"in {NOVALUE, 'G731ST-HT'}",dataInterface,"in {'NN', 'MT', 'BT'}",18,133,13.533834586466165
"in {NOVALUE, 'G731ST-HT'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",16,133,12.030075187969924
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",42,133,31.57894736842105
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",35,133,26.31578947368421
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,"in {NOVALUE, 'CS1'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,NOVALUE,21,133,15.789473684210526
"in {NOVALUE, 'G731ST-HT'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",14,133,10.526315789473683
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,NOVALUE,49,133,36.84210526315789
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,"in {NOVALUE, 'IS1'}",28,133,21.052631578947366
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-HT'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",14,133,10.526315789473683
"in {NOVALUE, 'G731ST-HT'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2'}",42,133,31.57894736842105
"in {NOVALUE, 'G731ST-HT'}",temperaturEingaenge,"in {NOVALUE, 'TT1'}",28,133,21.052631578947366
"in {NOVALUE, 'G731ST-HT'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2', 'TT3', 'TT4'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-HT'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2', 'TT3'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-HT'}",temperaturEingaenge,NOVALUE,21,133,15.789473684210526
"in {NOVALUE, 'G731ST-HT'}",binaerDigitalOpenColl_MN,"in {NOVALUE, 'MN1', 'MN2', 'MN3', 'MN4'}",76,133,57.14285714285714
"in {NOVALUE, 'G731ST-HT'}",binaerDigitalOpenColl_MN,NOVALUE,57,133,42.857142857142854
"in {NOVALUE, 'G731ST-HT'}",binaerOpenColl_MP,NOVALUE,76,133,57.14285714285714
"in {NOVALUE, 'G731ST-HT'}",binaerOpenColl_MP,"in {NOVALUE, 'MP1', 'MP2', 'MP3', 'MP4'}",57,133,42.857142857142854
"in {NOVALUE, 'G731ST-HT'}",waveInjector,"in {'FWI', NOVALUE}",133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",dev_advMeterVerification,NOVALUE,133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",dynamicGasMaster,NOVALUE,133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",customUserFluid,"in {NOVALUE, 1}",133,133,100.0
"in {NOVALUE, 'G731ST-HT'}",steamApplication,H,133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",devCategory,G,133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",characteristic,ST,133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",housing,"in {'ST', 'AL'}",133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",powerSupply,"in {'1', '4'}",133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",numberOfChannels,"in {1, 2}",133,133,100.0
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,N,38,133,28.57142857142857
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,"in {'A', 'E', 'P', 'J', 'S'}",38,133,28.57142857142857
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,K,38,133,28.57142857142857
"in {NOVALUE, 'G731ST-LT'}",explosionApproval,F,19,133,14.285714285714285
"in {NOVALUE, 'G731ST-LT'}",protectionArea,2,95,133,71.42857142857143
"in {NOVALUE, 'G731ST-LT'}",protectionArea,N,38,133,28.57142857142857
"in {NOVALUE, 'G731ST-LT'}",certification,"in {'NN', 'WN'}",76,133,57.14285714285714
"in {NOVALUE, 'G731ST-LT'}",certification,"in {'NN', 'WN', 'FN'}",38,133,28.57142857142857
"in {NOVALUE, 'G731ST-LT'}",certification,NN,19,133,14.285714285714285
"in {NOVALUE, 'G731ST-LT'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'BM'}",40,133,30.075187969924812
"in {NOVALUE, 'G731ST-LT'}",dataInterface,HS,35,133,26.31578947368421
"in {NOVALUE, 'G731ST-LT'}",dataInterface,NN,24,133,18.045112781954884
"in {NOVALUE, 'G731ST-LT'}",dataInterface,"in {'NN', 'MT', 'BT'}",18,133,13.533834586466165
"in {NOVALUE, 'G731ST-LT'}",dataInterface,"in {'NN', 'PA', 'MR', 'FF', 'DB', 'BM'}",16,133,12.030075187969924
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2'}",42,133,31.57894736842105
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3'}",35,133,26.31578947368421
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,"in {NOVALUE, 'CS1'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,NOVALUE,21,133,15.789473684210526
"in {NOVALUE, 'G731ST-LT'}",stromSchaltbar,"in {NOVALUE, 'CS1', 'CS2', 'CS3', 'CS4'}",14,133,10.526315789473683
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,NOVALUE,49,133,36.84210526315789
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,"in {NOVALUE, 'IS1'}",28,133,21.052631578947366
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3'}",21,133,15.789473684210526
"in {NOVALUE, 'G731ST-LT'}",stromEingaenge,"in {NOVALUE, 'IS1', 'IS2', 'IS3', 'IS4'}",14,133,10.526315789473683
"in {NOVALUE, 'G731ST-LT'}",temperaturEingaenge,"in {NOVALUE, 'TT1', 'TT2'}",42,133,31.57894736842105
