regime,model,target_package,rfqs,top1,top3,top5,top10,mrr,ndcg5,mean_true_rank,median_true_rank
PROVENANCE_AWARE,LOGISTIC_REGRESSION,F731TE,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,F731WD_DualChannel,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,1.0416666666666667,1.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,F731WD_SingleChannel,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,G731CA,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,G731ST-HT,86,0.872093023255814,1.0,1.0,1.0,0.9341085271317829,0.9512709015780765,1.1395348837209303,1.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,G731ST-LT,79,0.9113924050632911,1.0,1.0,1.0,0.9556962025316456,0.9672975731012683,1.0886075949367089,1.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,LOGISTIC_REGRESSION,x731,444,0.9346846846846847,1.0,1.0,1.0,0.9673423423423423,0.9758940604810186,1.0653153153153154,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,1.0666666666666667,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731TE,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731WD_DualChannel,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,1.0416666666666667,1.0
PROVENANCE_AWARE,RANDOM_FOREST,F731WD_SingleChannel,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,RANDOM_FOREST,G731CA,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,RANDOM_FOREST,G731ST-HT,86,0.8837209302325582,0.9883720930232558,1.0,1.0,0.938953488372093,0.9547563295374013,1.1395348837209303,1.0
PROVENANCE_AWARE,RANDOM_FOREST,G731ST-LT,79,0.9113924050632911,1.0,1.0,1.0,0.9556962025316456,0.9672975731012683,1.0886075949367089,1.0
PROVENANCE_AWARE,RANDOM_FOREST,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROVENANCE_AWARE,RANDOM_FOREST,x731,444,0.9346846846846847,1.0,1.0,1.0,0.9673423423423423,0.9758940604810186,1.0653153153153154,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,1.0666666666666667,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,F731TE,24,0.9166666666666666,1.0,1.0,1.0,0.9583333333333334,0.9692441461309548,1.0833333333333333,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,F731WD_DualChannel,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,1.0416666666666667,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,F731WD_SingleChannel,14,0.7857142857142857,1.0,1.0,1.0,0.8928571428571429,0.9209135186224552,1.2142857142857142,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,G731CA,41,0.9024390243902439,1.0,1.0,1.0,0.9512195121951219,0.9639931466898983,1.0975609756097562,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,G731ST-HT,86,0.872093023255814,1.0,1.0,1.0,0.9341085271317829,0.9512709015780765,1.1395348837209303,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,G731ST-LT,79,0.9113924050632911,1.0,1.0,1.0,0.9556962025316456,0.9672975731012683,1.0886075949367089,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REALISTIC_BASELINE,HIST_GRADIENT_BOOSTING,x731,444,0.9031531531531531,0.9977477477477478,1.0,1.0,0.949512012012012,0.9626261423283531,1.1103603603603605,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,1.0666666666666667,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,F731TE,24,0.9166666666666666,1.0,1.0,1.0,0.9583333333333334,0.9692441461309548,1.0833333333333333,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,F731WD_DualChannel,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,1.0416666666666667,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,F731WD_SingleChannel,14,0.7857142857142857,1.0,1.0,1.0,0.8928571428571429,0.9209135186224552,1.2142857142857142,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,G731CA,41,0.9024390243902439,1.0,1.0,1.0,0.9512195121951219,0.9639931466898983,1.0975609756097562,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,G731ST-HT,86,0.872093023255814,1.0,1.0,1.0,0.9341085271317829,0.9512709015780765,1.1395348837209303,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,G731ST-LT,79,0.9113924050632911,1.0,1.0,1.0,0.9556962025316456,0.9672975731012683,1.0886075949367089,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REALISTIC_BASELINE,LOGISTIC_REGRESSION,x731,444,0.9099099099099099,0.9977477477477478,1.0,1.0,0.9528903903903904,0.9651198602096271,1.1036036036036037,1.0
REALISTIC_BASELINE,RANDOM_FOREST,F731PW,15,0.9333333333333333,1.0,1.0,1.0,0.9666666666666667,0.9753953169047639,1.0666666666666667,1.0
REALISTIC_BASELINE,RANDOM_FOREST,F731TE,24,0.9166666666666666,1.0,1.0,1.0,0.9583333333333334,0.9692441461309548,1.0833333333333333,1.0
REALISTIC_BASELINE,RANDOM_FOREST,F731WD_DualChannel,24,0.9583333333333334,1.0,1.0,1.0,0.9791666666666666,0.9846220730654774,1.0416666666666667,1.0
REALISTIC_BASELINE,RANDOM_FOREST,F731WD_SingleChannel,14,0.7857142857142857,1.0,1.0,1.0,0.8928571428571429,0.9209135186224552,1.2142857142857142,1.0
REALISTIC_BASELINE,RANDOM_FOREST,G731CA,41,0.9024390243902439,1.0,1.0,1.0,0.9512195121951219,0.9639931466898983,1.0975609756097562,1.0
REALISTIC_BASELINE,RANDOM_FOREST,G731ST-HT,86,0.9069767441860465,1.0,1.0,1.0,0.9515503875968991,0.964145445058142,1.1046511627906976,1.0
REALISTIC_BASELINE,RANDOM_FOREST,G731ST-LT,79,0.9113924050632911,1.0,1.0,1.0,0.9556962025316456,0.9672975731012683,1.0886075949367089,1.0
REALISTIC_BASELINE,RANDOM_FOREST,G731VG,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REALISTIC_BASELINE,RANDOM_FOREST,x731,444,0.8896396396396397,0.9977477477477478,1.0,1.0,0.9427552552552552,0.9576387065658053,1.1238738738738738,1.0
